Diet	Korean	Korean	Korean	Korean	Korean	Korean	Western	Western	Western	Western	Western	Western
Candidatus Moranella endobia	0	0	0	0	0	6	0	0	0	0	0	0
Pantoea sp. At-9b	0	0	0	0	0	15	0	0	0	0	0	0
Pantoea sp. Lij88	0	0	0	0	0	12	38	0	98	71	0	0
Pantoea sp. BRR-3P	0	0	0	0	0	7	0	20	0	0	0	52
Duffyella gerundensis	0	0	0	0	0	8	0	0	0	0	0	0
Serratia grimesii	0	0	0	0	0	84	0	0	0	0	0	0
Rahnella aquatilis	0	0	0	0	0	10	0	0	143	32	0	0
Arsenophonus endosymbiont of Aleurodicus dispersus	0	0	0	0	0	11	0	0	0	0	0	0
Vibrio sp. B1REV9	0	0	0	0	0	135	0	0	0	0	0	0
Pasteurella atlantica	0	0	0	0	0	20	0	20	18	0	0	0
Pasteurella sp. PK-2025	0	0	0	0	0	9	0	0	0	0	0	0
Pseudomonas antarctica	0	0	0	0	0	16	0	0	0	0	0	0
Ectopseudomonas mendocina	0	0	0	0	0	16	0	10	0	0	0	0
Thalassomonas actiniarum	0	0	0	0	0	8	0	0	0	0	0	14
Litorilituus sediminis	0	0	0	0	0	10	0	0	618	168	0	0
Catenovulum sp. SX2	0	0	0	0	0	12	6	0	0	0	21	6
Shewanella benthica	0	0	0	0	0	6	0	0	0	0	0	0
Shewanella woodyi	0	0	0	0	0	5	0	0	18	0	0	0
Acinetobacter radioresistens	0	0	0	0	0	69	0	0	0	0	0	0
Faucicola atlantae	0	0	0	0	0	5	0	0	0	0	0	38
Amphritea japonica	0	0	0	0	0	8	0	0	0	0	7	13
Marinicellulosiphila megalodicopiae	0	0	0	0	0	19	0	0	12	8	0	0
Alcanivorax sp. IL2	0	0	0	0	0	15	0	6	0	0	7	0
Aeromonas allosaccharophila	0	0	0	0	0	19	0	0	0	0	13	0
Oceanisphaera avium	0	0	0	0	0	15	0	0	0	0	0	0
Francisella persica	0	0	0	0	0	7	0	0	0	0	0	0
Francisella hispaniensis	0	0	0	0	0	8	9	8	0	0	0	0
Piscirickettsia salmonis	0	0	0	0	0	5	18	41	0	0	0	0
Xanthomonas citri	0	0	0	0	0	21	0	0	0	0	0	0
Dyella nitratireducens	0	0	0	0	0	6	0	5	0	0	0	0
Thiocapsa bogorovii	0	0	0	0	0	8	0	0	0	0	7	21
Ectothiorhodospira shaposhnikovii	0	0	0	0	0	16	0	0	0	0	0	0
Legionella sp. D16C41	0	0	0	0	0	9	6	6	0	0	0	0
Methylomonas sp. UP202	0	0	0	0	0	13	13	0	0	0	0	0
Methylocaldum marinum	0	0	0	0	0	7	0	0	0	0	0	0
Candidatus Pseudothioglobus singularis	0	0	0	0	0	5	0	0	0	0	20	35
Oxalobacter vibrioformis	0	0	0	0	0	8	0	0	6	0	0	5
Candidatus Zinderia endosymbiont of Aphrophora alni	0	0	0	0	0	5	0	0	0	0	0	0
Burkholderia multivorans	0	0	0	0	0	25	0	0	29	29	0	0
Burkholderia thailandensis	0	0	0	0	0	31	0	0	11	25	0	0
Bordetella sp. N	0	0	0	0	0	9	0	0	0	0	0	8
Achromobacter xylosoxidans	0	0	0	0	0	12	35	12	19	0	0	0
Oligella urethralis	0	0	0	0	0	6	0	0	0	0	0	9
Piscinibacter sp. XHJ-5	0	0	0	0	0	12	0	0	0	9	0	0
Neisseria subflava	0	0	0	0	0	40	0	45	26	0	88	0
Aquella oligotrophica	0	0	0	0	0	7	0	0	0	0	0	0
Chitinibacter bivalviorum	0	0	0	0	0	29	0	0	8	0	0	0
Aquitalea sp. USM4	0	0	0	0	0	9	0	0	0	0	0	0
Methylophilus sp. TWE2	0	0	0	0	0	8	0	0	0	11	0	0
Fluviibacter phosphoraccumulans	0	0	0	0	0	8	0	0	0	0	0	0
Candidatus Kinetoplastidibacterium galati	0	0	0	0	0	9	0	0	0	0	0	0
Neorhizobium petrolearium	0	0	0	0	0	14	21	16	0	0	0	8
Bradyrhizobium yuanmingense	0	0	0	0	0	16	0	0	0	0	0	0
Bradyrhizobium erythrophlei	0	0	0	0	0	6	0	0	0	0	0	0
Breoghania sp.	0	0	0	0	0	7	0	0	0	0	0	0
Bartonella birtlesii	0	0	0	0	0	6	0	0	0	0	0	0
Candidatus Endowatersipora endosymbiont of Watersipora subatra	0	0	0	0	0	13	0	0	0	0	0	0
Microvirga terrae	0	0	0	0	0	6	0	0	0	0	0	0
Pseudochrobactrum sp. MP213Fo	0	0	0	0	0	5	0	0	7	0	0	13
Acuticoccus sp. I52.16.1	0	0	0	0	0	9	0	0	0	0	0	0
uncultured Cohaesibacter sp.	0	0	0	0	0	5	0	0	0	0	0	0
Blastochloris tepida	0	0	0	0	0	8	0	0	0	0	0	0
Polymorphobacter sp.	0	0	0	0	0	10	0	0	0	5	0	0
Parasphingopyxis algicola	0	0	0	0	0	9	0	0	0	0	14	0
Paracoccus sp. SJTW-4	0	0	0	0	0	18	0	0	0	0	0	0
Limimaricola sp. AA108-03	0	0	0	0	0	10	0	19	0	0	0	0
Frigidibacter mobilis	0	0	0	0	0	15	0	37	0	0	0	42
Jannaschia sp. M317	0	0	0	0	0	10	0	0	0	0	0	0
Wolbachia endosymbiont (group B) of Ennomos erosarius	0	0	0	0	0	32	15	0	0	0	0	0
Wolbachia endosymbiont of Howardula sp.	0	0	0	0	0	6	0	0	0	0	0	0
Wolbachia endosymbiont of Chironomus riparius	0	0	0	0	0	5	0	0	0	0	0	0
Candidatus Tisiphia endosymbiont of Beris chalybata	0	0	0	0	0	25	0	0	0	0	0	0
Candidatus Megaera polyxenophila	0	0	0	0	0	7	0	0	0	0	0	0
Candidatus Pelagibacter bacterium nBUS_30	0	0	0	0	0	45	0	0	0	0	0	20
Candidatus Pelagibacter bacterium nBUS_36	0	0	0	0	0	6	0	0	0	0	0	0
Candidatus Pelagibacter sp. RS39	0	0	0	0	0	5	0	0	0	0	0	0
Aestuariispira ectoiniformans	0	0	0	0	0	11	0	24	0	0	0	16
Asticcacaulis sp. DW145	0	0	0	0	0	8	0	0	0	0	0	0
Asticcacaulis sp. ZE23SCel15	0	0	0	0	0	6	23	11	0	0	0	0
Brevundimonas diminuta	0	0	0	0	0	18	0	0	0	0	0	0
Luteolibacter sp. SL250	0	0	0	0	0	7	0	0	0	0	0	0
Singulisphaera sp. PoT	0	0	0	0	0	24	0	5	22	27	0	7
Limnoglobus roseus	0	0	0	0	0	6	0	5	0	0	0	0
Candidatus Uabimicrobium helgolandensis	0	0	0	0	0	13	0	0	0	0	0	0
Brachyspira hyodysenteriae	0	0	0	0	0	5	12	20	0	0	0	7
Treponema sp. OMZ 857	0	0	0	0	0	41	0	0	0	0	15	0
Treponema parvum	0	0	0	0	0	5	0	0	0	0	0	0
Borrelia anserina	0	0	0	0	0	21	0	0	0	0	0	0
Borrelia miyamotoi	0	0	0	0	0	12	0	0	0	0	0	0
Borreliella andersonii	0	0	0	0	0	21	0	9	0	0	0	0
Oceanispirochaeta crateris	0	0	0	0	0	23	0	0	0	0	0	0
Leadbettera azotonutricia	0	0	0	0	0	6	0	5	0	0	11	5
Sphaerochaeta pleomorpha	0	0	0	0	0	5	0	0	0	0	5	0
Leptospira kobayashii	0	0	0	0	0	8	12	0	0	0	0	0
Desulfosarcina sp. BuS5	0	0	0	0	0	42	0	0	0	0	0	8
Desulfonema magnum	0	0	0	0	0	8	7	8	24	9	0	0
Desulfuromonas sp. DDH964	0	0	0	0	0	14	0	0	0	0	0	0
Geomonas sp. RF6	0	0	0	0	0	7	0	0	0	0	26	0
Syntrophobacter fumaroxidans	0	0	0	0	0	8	0	0	0	12	0	0
Syntrophus aciditrophicus	0	0	0	0	0	6	16	0	0	0	0	0
Campylobacter upsaliensis	0	0	0	0	0	8	0	0	0	0	0	0
Campylobacter sputorum	0	0	0	0	0	5	0	0	0	0	0	0
Malaciobacter halophilus	0	0	0	0	0	44	0	31	0	0	0	0
Aliarcobacter thereius	0	0	0	0	0	33	0	0	0	0	0	0
Thermovibrio ammonificans	0	0	0	0	0	74	0	0	12	7	0	0
Persephonella marina	0	0	0	0	0	5	0	0	0	0	0	0
Bdellovibrio bacteriovorus	0	0	0	0	0	41	0	0	11	11	23	58
Halobacteriovorax marinus	0	0	0	0	0	5	0	0	0	0	0	0
Sorangium sp. So ce233	0	0	0	0	0	11	0	0	0	0	0	0
Chondromyces crocatus	0	0	0	0	0	7	44	0	0	6	0	0
Granulicella sp. 5B5	0	0	0	0	0	9	7	0	0	0	0	0
Dictyoglomus thermophilum	0	0	0	0	0	8	0	0	0	0	0	0
Candidatus Caldatribacterium saccharofermentans	0	0	0	0	0	6	0	0	0	0	0	0
Caldisericum exile	0	0	0	0	0	6	0	0	0	0	0	0
Acetivibrio saccincola	0	0	0	0	0	19	8	0	0	0	50	6
Acetobacterium woodii	0	0	0	0	0	26	0	0	0	0	0	8
Acetobacterium malicum	0	0	0	0	0	26	14	0	0	0	6	10
Clostridium sp. AWRP	0	0	0	0	0	43	0	0	0	9	36	25
Sulfobacillus thermotolerans	0	0	0	0	0	6	0	5	0	0	0	49
Caproiciproducens sp. R2	0	0	0	0	0	26	33	0	0	0	67	64
Desulfitobacterium dehalogenans	0	0	0	0	0	48	0	9	0	0	0	17
Desulfitobacterium metallireducens	0	0	0	0	0	10	0	5	58	15	0	0
Desulfosporosinus acidiphilus	0	0	0	0	0	16	11	8	0	0	7	0
Dehalobacter restrictus	0	0	0	0	0	7	0	16	0	0	0	0
Caldanaerobacter subterraneus	0	0	0	0	0	5	0	0	7	8	0	0
Aceticella autotrophica	0	0	0	0	0	5	0	21	8	7	0	0
Halanaerobium hydrogeniformans	0	0	0	0	0	11	0	0	0	0	0	0
Halobacteroides halobius	0	0	0	0	0	6	0	0	0	0	0	0
Tepidanaerobacter acetatoxydans	0	0	0	0	0	13	7	6	0	0	0	7
Methylomusa anaerophila	0	0	0	0	0	7	0	0	0	7	0	0
Streptococcus sobrinus	0	0	0	0	0	5	0	0	0	0	0	0
Streptococcus iners	0	0	0	0	0	6	0	0	0	12	0	0
Floricoccus penangensis	0	0	0	0	0	8	0	0	0	0	0	0
Ligilactobacillus cholophilus	0	0	0	0	0	16	0	0	0	0	0	0
Ligilactobacillus animalis	0	0	0	0	0	10	0	0	0	0	0	0
Lactobacillus amylolyticus	0	0	0	0	0	9	0	10	0	0	0	0
Limosilactobacillus vaginalis	0	0	0	0	0	11	0	0	9	26	0	0
Fructilactobacillus vespulae	0	0	0	0	0	25	0	0	0	0	0	0
Fructilactobacillus cliffordii	0	0	0	0	0	15	0	6	0	0	0	0
Fructilactobacillus fructivorans	0	0	0	0	0	6	0	0	0	0	0	0
Lentilactobacillus buchneri	0	0	0	0	0	228	0	0	63	24	0	0
Lentilactobacillus hilgardii	0	0	0	0	0	5	0	0	0	0	0	0
Lentilactobacillus terminaliae	0	0	0	0	0	5	0	0	0	0	0	0
Liquorilactobacillus satsumensis	0	0	0	0	0	18	0	0	0	0	0	0
Companilactobacillus pabuli	0	0	0	0	0	6	14	7	17	0	0	0
Bombilactobacillus thymidiniphilus	0	0	0	0	0	8	0	0	0	0	0	0
Furfurilactobacillus rossiae	0	0	0	0	0	6	0	0	0	0	0	0
Enterococcus sp. DIV0212c	0	0	0	0	0	16	0	11	0	0	0	0
Enterococcus gilvus	0	0	0	0	0	7	0	0	0	0	0	15
Vagococcus luciliae	0	0	0	0	0	33	0	18	12	17	0	0
Vagococcus carniphilus	0	0	0	0	0	7	0	5	0	0	0	0
Carnobacterium maltaromaticum	0	0	0	0	0	5	0	0	0	6	0	6
Marinilactibacillus sp. 15R	0	0	0	0	0	21	0	5	0	7	0	9
Alkalibacterium putridalgicola	0	0	0	0	0	15	0	8	0	9	0	0
Trichococcus shcherbakoviae	0	0	0	0	0	14	0	0	0	0	0	0
Tuanshanicoccus yangjingiae	0	0	0	0	0	22	0	0	7	5	0	0
Aerococcus urinaeequi	0	0	0	0	0	8	0	0	0	0	0	0
Bacillus sp. FJAT-18017	0	0	0	0	0	20	0	0	0	0	0	22
Bacillus pumilus	0	0	0	0	0	89	0	0	15	38	0	6
Bacillus vallismortis	0	0	0	0	0	9	0	6	0	0	0	5
Bacillus aquiflavi	0	0	0	0	0	16	0	0	0	0	0	0
Bacillus salacetis	0	0	0	0	0	11	0	0	0	0	0	0
Neobacillus sp. C211	0	0	0	0	0	116	0	0	0	0	0	0
Psychrobacillus sp. BM2	0	0	0	0	0	110	0	0	15	14	0	0
Psychrobacillus sp. FSL K6-4046	0	0	0	0	0	24	0	0	0	0	0	0
Psychrobacillus glaciei	0	0	0	0	0	9	0	0	0	0	0	0
Oceanobacillus sp. FSL K6-3682	0	0	0	0	0	56	0	0	11	0	0	0
Oceanobacillus sp. FSL H7-0719	0	0	0	0	0	18	0	0	0	0	0	0
Oceanobacillus kapialis	0	0	0	0	0	14	0	0	0	0	0	0
Gracilibacillus salitolerans	0	0	0	0	0	79	0	9	0	0	0	14
Peribacillus sp. B-H-3	0	0	0	0	0	15	28	10	10	0	57	11
Priestia sp. J2	0	0	0	0	0	23	0	0	0	0	0	0
Halobacillus amylolyticus	0	0	0	0	0	5	0	0	0	0	0	0
Mesobacillus maritimus	0	0	0	0	0	26	0	0	0	0	0	0
Mesobacillus jeotgali	0	0	0	0	0	6	0	13	0	0	8	12
Rossellomorea sp. NS-SX7	0	0	0	0	0	16	0	0	0	0	0	0
Rossellomorea sedimentorum	0	0	0	0	0	13	0	0	0	0	0	0
Heyndrickxia sporothermodurans	0	0	0	0	0	31	0	14	0	0	0	0
Domibacillus sp. DTU_2020_1001157_1_SI_ALB_TIR_016	0	0	0	0	0	32	0	5	0	0	0	12
Lentibacillus daqui	0	0	0	0	0	15	0	0	0	0	0	0
Lentibacillus amyloliquefaciens	0	0	0	0	0	6	0	0	0	0	0	0
Virgibacillus natechei	0	0	0	0	0	7	0	0	0	0	0	0
Pradoshia sp. D12	0	0	0	0	0	18	0	0	33	0	0	0
Evansella cellulosilytica	0	0	0	0	0	8	0	0	9	6	0	0
Lederbergia lenta	0	0	0	0	0	10	0	0	0	0	0	0
Paenibacillus sp. FSL W8-0426	0	0	0	0	0	17	0	0	11	5	0	0
Paenibacillus sp. WLX2291	0	0	0	0	0	25	0	0	0	19	0	0
Paenibacillus sp. PK3_47	0	0	0	0	0	8	7	0	0	0	0	0
Paenibacillus sp. IHBB 10380	0	0	0	0	0	9	0	0	0	0	0	0
Paenibacillus sp. FSL K6-1217	0	0	0	0	0	9	21	0	0	0	0	0
Paenibacillus sp. FSL R10-2734	0	0	0	0	0	7	0	0	0	0	0	0
Paenibacillus sp. FSL H8-0537	0	0	0	0	0	6	0	0	0	30	16	30
Paenibacillus guangzhouensis	0	0	0	0	0	34	0	0	0	0	0	5
Paenibacillus andongensis	0	0	0	0	0	19	9	0	9	7	0	0
Paenibacillus tritici	0	0	0	0	0	20	49	10	21	7	11	0
Paenibacillus polygoni	0	0	0	0	0	10	8	0	0	0	0	0
Paenibacillus stellifer	0	0	0	0	0	10	0	0	0	0	0	0
Paenibacillus cellulositrophicus	0	0	0	0	0	17	0	0	0	15	0	0
Paenibacillus chitinolyticus	0	0	0	0	0	6	0	0	0	11	0	0
Paenibacillus alvei	0	0	0	0	0	5	0	0	30	17	0	0
Brevibacillus fluminis	0	0	0	0	0	45	12	0	0	0	8	0
Brevibacillus centrosporus	0	0	0	0	0	20	0	12	8	0	0	0
Staphylococcus chromogenes	0	0	0	0	0	17	23	9	0	0	0	0
Staphylococcus hominis	0	0	0	0	0	8	0	0	0	0	0	0
Staphylococcus arlettae	0	0	0	0	0	8	0	0	0	0	0	0
Staphylococcus auricularis	0	0	0	0	0	6	0	0	0	0	0	0
Macrococcus psychrotolerans	0	0	0	0	0	28	0	0	0	0	0	0
Jeotgalicoccus saudimassiliensis	0	0	0	0	0	6	0	0	0	0	0	0
Planococcus sp. 107-1	0	0	0	0	0	43	0	8	8	0	0	8
Planococcus halocryophilus	0	0	0	0	0	29	0	11	0	0	0	0
Planococcus shenhongbingii	0	0	0	0	0	12	0	16	0	0	0	48
Ureibacillus thermophilus	0	0	0	0	0	76	0	12	0	0	0	0
Metasolibacillus sp. FSL H7-0170	0	0	0	0	0	34	0	0	0	11	0	0
Rummeliibacillus pycnus	0	0	0	0	0	10	0	0	0	6	0	0
Listeria newyorkensis	0	0	0	0	0	9	0	0	0	0	0	0
Listeria monocytogenes	0	0	0	0	0	14	20	17	26	45	7	6
Listeria swaminathanii	0	0	0	0	0	6	0	5	0	0	0	5
Anoxybacillus flavithermus	0	0	0	0	0	39	44	48	35	0	0	0
Tumebacillus algifaecis	0	0	0	0	0	16	0	0	16	12	0	0
Alicyclobacillus acidocaldarius	0	0	0	0	0	8	8	7	14	0	0	0
Fodinisporobacter ferrooxydans	0	0	0	0	0	7	0	0	0	0	0	0
Exiguobacterium mexicanum	0	0	0	0	0	19	0	0	0	0	0	0
Anaerococcus mediterraneensis	0	0	0	0	0	80	0	0	7	11	0	0
Anaerococcus sp. WGS1529	0	0	0	0	0	14	0	17	0	0	0	0
Anaerococcus sp. WGS1596	0	0	0	0	0	13	0	0	0	0	0	0
Microaceticoccus formicicus	0	0	0	0	0	7	8	0	7	6	0	11
Tissierella carlieri	0	0	0	0	0	17	0	8	8	0	10	0
Schnuerera ultunensis	0	0	0	0	0	13	0	0	0	0	0	0
Caldicellulosiruptor saccharolyticus	0	0	0	0	0	61	0	0	0	0	0	0
Candidatus Contubernalis alkaliaceticus	0	0	0	0	0	6	0	0	0	9	0	0
Scardovia wiggsiae	0	0	0	0	0	7	0	0	0	0	0	0
Streptomyces sp. NBC_01431	0	0	0	0	0	38	0	0	0	0	0	0
Streptomyces sp. NBC_01725	0	0	0	0	0	37	0	0	0	0	0	0
Streptomyces niveus	0	0	0	0	0	20	0	0	0	0	0	0
Streptomyces albidoflavus	0	0	0	0	0	30	79	0	0	0	0	0
Streptomyces scopuliridis	0	0	0	0	0	5	0	0	0	0	0	0
Corynebacterium canis	0	0	0	0	0	17	0	0	0	0	0	0
Corynebacterium halotolerans	0	0	0	0	0	25	0	0	0	0	0	0
Mycolicibacterium grossiae	0	0	0	0	0	10	0	0	0	0	0	0
Nocardia sp. NBC_00403	0	0	0	0	0	16	0	0	0	0	0	0
Microbacterium sp. JZ37	0	0	0	0	0	32	0	0	0	0	0	0
Pseudarthrobacter sp. MM222	0	0	0	0	0	13	0	0	0	0	0	66
Trueperella bernardiae	0	0	0	0	0	10	0	0	0	0	0	0
Actinoplanes sp. CA-015351	0	0	0	0	0	21	0	10	7	0	0	0
Amycolatopsis coloradensis	0	0	0	0	0	9	9	0	0	13	0	8
Nakamurella sp. PAMC28650	0	0	0	0	0	7	0	0	0	0	0	0
Atopobium sp. oral taxon 416	0	0	0	0	0	9	0	5	0	8	6	8
Arabiibacter massiliensis	0	0	0	0	0	6	0	0	0	12	21	13
Candidatus Poriferisocius sp.	0	0	0	0	0	16	0	64	8	16	6	0
Ilumatobacter coccineus	0	0	0	0	0	7	0	0	0	8	0	0
Rubrobacter marinus	0	0	0	0	0	6	9	15	0	0	10	0
Spiroplasma endosymbiont of Panorpa germanica	0	0	0	0	0	23	0	0	0	0	0	0
Spiroplasma apis	0	0	0	0	0	21	0	0	0	0	0	0
Spiroplasma monobiae	0	0	0	0	0	13	0	0	0	0	0	0
Spiroplasma turonicum	0	0	0	0	0	6	0	0	0	11	0	0
Mesoplasma chauliocola	0	0	0	0	0	22	0	43	0	0	0	0
Williamsoniiplasma somnilux	0	0	0	0	0	5	0	0	0	0	0	0
Hujiaoplasma nucleasis	0	0	0	0	0	70	8	0	10	8	0	0
Candidatus Xianfuyuplasma coldseepsis	0	0	0	0	0	44	7	0	0	0	0	0
Acholeplasma laidlawii	0	0	0	0	0	6	5	40	15	0	81	29
Mycoplasma sp. (ex Biomphalaria glabrata)	0	0	0	0	0	5	0	0	0	0	0	0
Mycoplasma hafezii	0	0	0	0	0	16	0	0	0	0	0	0
Mycoplasma tauri	0	0	0	0	0	10	0	0	0	0	0	0
Mycoplasma phocoenae	0	0	0	0	0	5	0	0	0	0	0	0
Mycoplasmopsis bovirhinis	0	0	0	0	0	27	11	0	20	13	0	0
Metamycoplasma phocicerebrale	0	0	0	0	0	16	0	0	0	0	0	0
Metamycoplasma faucium	0	0	0	0	0	11	0	0	0	0	0	0
Malacoplasma iowae	0	0	0	0	0	7	15	29	0	0	0	0
Richelia sinica	0	0	0	0	0	51	11	6	269	85	0	0
Nostoc sp. 'Peltigera membranacea cyanobiont' N6	0	0	0	0	0	14	0	0	0	0	0	0
Anabaena sp. 90	0	0	0	0	0	44	0	0	0	0	10	0
Dolichospermum heterosporum	0	0	0	0	0	23	0	0	0	0	0	0
Calothrix sp. PCC 7507	0	0	0	0	0	9	0	0	0	0	0	0
[Leptolyngbya] sp. PCC 7376	0	0	0	0	0	23	0	0	0	0	0	0
Halothece sp. PCC 7418	0	0	0	0	0	17	0	0	0	0	0	0
Parathermosynechococcus lividus	0	0	0	0	0	11	0	0	0	0	0	0
Trichocoleus desertorum	0	0	0	0	0	7	0	0	0	0	0	0
Fusobacterium nucleatum	0	0	0	0	0	22	0	0	47	37	13	0
Fusobacterium ulcerans	0	0	0	0	0	8	25	26	0	0	0	9
Leptotrichia mesophila	0	0	0	0	0	76	0	0	12	0	0	0
Leptotrichia sp. oral taxon 212	0	0	0	0	0	11	0	0	0	0	0	0
Aminobacterium colombiense	0	0	0	0	0	8	0	0	0	0	10	22
Defluviitoga tunisiensis	0	0	0	0	0	20	0	0	0	0	0	0
Fervidobacterium islandicum	0	0	0	0	0	15	0	0	0	0	0	0
Methanobacterium congolense	0	0	0	0	0	8	0	0	0	0	0	0
Methanocaldococcus indicus	0	0	0	0	0	5	0	21	0	0	0	0
Methanococcus maripaludis	0	0	0	0	0	6	0	0	0	0	0	0
Methanolobus sp. WCC5	0	0	0	0	0	8	0	0	17	19	0	0
Methanimicrococcus hongohii	0	0	0	0	0	5	0	10	0	0	0	0
Methanocella arvoryzae	0	0	0	0	0	9	0	0	0	0	0	0
Halocatena marina	0	0	0	0	0	7	0	0	0	5	0	0
Thermococcus litoralis	0	0	0	0	0	9	0	0	0	0	0	0
Candidatus Methanomassiliicoccus intestinalis	0	0	0	0	0	5	0	0	0	0	0	0
Saccharolobus islandicus	0	0	0	0	0	5	0	0	0	0	0	0
Junduvirus communis	0	0	0	0	0	4093	0	0	0	0	0	0
Junduvirus copri	0	0	0	0	0	177	0	0	0	0	0	0
Canhaevirus faecalis	0	0	0	0	0	115	0	734	0	0	16	7
Kolpuevirus hominis	0	0	0	0	0	315	0	0	0	0	0	0
Kolpuevirus coli	0	0	0	0	0	156	0	0	0	0	0	0
Lebriduvirus gastrointestinalis	0	0	0	0	0	307	0	0	0	0	0	0
Kehishuvirus primarius	0	0	0	0	0	10	0	0	0	0	0	0
Dysgonomonas sp. HDW5A	0	0	0	0	0	0	67	29	0	0	7	19
Salinivirga cyanobacteriivorans	0	0	0	0	0	0	27	5	0	27	18	24
Candidatus Azobacteroides pseudotrichonymphae	0	0	0	0	0	0	12	0	0	0	0	0
Halosquirtibacter xylanolyticus	0	0	0	0	0	0	67	258	21	41	0	0
Flavobacterium sp. KACC 22758	0	0	0	0	0	0	275	64	0	0	0	166
Flavobacterium sp. MDT1-60	0	0	0	0	0	0	10	0	0	0	0	30
Flavobacterium sp. Sr18	0	0	0	0	0	0	8	58	0	7	0	0
Flavobacterium sp. K5-23	0	0	0	0	0	0	7	7	0	0	0	0
Flavobacterium sp. YJ01	0	0	0	0	0	0	11	21	0	0	0	0
Flavobacterium okayamense	0	0	0	0	0	0	51	9	0	0	0	0
Flavobacterium gilvum	0	0	0	0	0	0	23	18	0	7	0	0
Flavobacterium inviolabile	0	0	0	0	0	0	19	23	7	5	0	6
Flavobacterium nakdongensis	0	0	0	0	0	0	15	0	0	0	0	0
Flavobacterium endoglycinae	0	0	0	0	0	0	13	0	0	0	0	0
uncultured Flavobacterium sp.	0	0	0	0	0	0	9	0	0	0	0	0
Flavobacterium panacagri	0	0	0	0	0	0	9	10	0	0	0	0
Flavobacterium gelatinilyticum	0	0	0	0	0	0	6	11	0	0	0	0
Flavobacterium pallidum	0	0	0	0	0	0	5	0	0	0	0	0
Capnocytophaga sp. oral taxon 902	0	0	0	0	0	0	305	119	0	0	0	0
Capnocytophaga ochracea	0	0	0	0	0	0	48	0	31	20	0	0
Capnocytophaga haemolytica	0	0	0	0	0	0	7	0	5	15	0	0
Flagellimonas cixiensis	0	0	0	0	0	0	8	5	0	6	0	5
Arenibacter algicola	0	0	0	0	0	0	181	50	0	0	25	70
Myroides odoratus	0	0	0	0	0	0	66	12	0	0	0	8
Maribacter sp. X9	0	0	0	0	0	0	21	17	0	0	0	0
Maribacter sp. MJ134	0	0	0	0	0	0	15	0	0	0	7	11
Maribacter sp. BPC-D8	0	0	0	0	0	0	6	0	0	0	0	0
Maribacter halichondriae	0	0	0	0	0	0	7	6	0	0	0	0
Tenacibaculum sp. SZ-18	0	0	0	0	0	0	40	0	0	0	0	0
Seonamhaeicola sp. ML3	0	0	0	0	0	0	40	5	0	0	12	17
Polaribacter sp. ALD11	0	0	0	0	0	0	16	0	7	0	0	0
Polaribacter pacificus	0	0	0	0	0	0	6	0	0	0	0	0
Antarcticibacterium sp. 1MA-6-2	0	0	0	0	0	0	20	11	0	0	0	0
Rasiella sp. SM2506	0	0	0	0	0	0	21	107	14	26	0	0
Thalassobellus suaedae	0	0	0	0	0	0	24	0	0	0	0	0
Formosa sp. 4Alg 33	0	0	0	0	0	0	12	0	123	40	0	0
Psychroserpens sp. NJDZ02	0	0	0	0	0	0	35	135	0	0	0	0
Candidatus Marifrigoribacter sp. Uisw_064	0	0	0	0	0	0	15	0	0	0	0	0
Christiangramia forsetii	0	0	0	0	0	0	9	0	11	6	0	0
Robiginitalea sp. IMCC43444	0	0	0	0	0	0	7	0	6	14	0	0
Patiriisocius sp. Uisw_017	0	0	0	0	0	0	11	11	0	0	0	0
Lacinutrix neustonica	0	0	0	0	0	0	7	0	0	0	75	85
Winogradskyella sp. PC-19	0	0	0	0	0	0	7	0	0	0	0	0
Salegentibacter sp. T436	0	0	0	0	0	0	6	0	0	0	0	0
Aequorivita nionensis	0	0	0	0	0	0	6	0	0	0	0	0
Pontimicrobium sp. SW4	0	0	0	0	0	0	7	0	0	0	0	0
Vaginella massiliensis	0	0	0	0	0	0	12	0	0	0	0	0
Ulvibacterium sp.	0	0	0	0	0	0	6	0	0	0	0	5
Muriicola soli	0	0	0	0	0	0	6	0	0	5	0	0
Chryseobacterium sp.	0	0	0	0	0	0	103	48	0	0	22	52
Chryseobacterium sp. LJ668	0	0	0	0	0	0	59	28	0	0	6	0
Chryseobacterium sp. StRB126	0	0	0	0	0	0	22	8	0	0	0	14
Chryseobacterium sp. POE27	0	0	0	0	0	0	12	18	0	0	0	0
Chryseobacterium sp. PMSZPI	0	0	0	0	0	0	11	7	10	14	0	0
Chryseobacterium sp. G0201	0	0	0	0	0	0	9	0	0	0	0	0
Chryseobacterium suipulveris	0	0	0	0	0	0	11	0	0	0	0	0
Chryseobacterium panacisoli	0	0	0	0	0	0	9	0	0	0	0	0
Chryseobacterium gambrini	0	0	0	0	0	0	7	0	0	0	0	0
Kaistella sp. 97-N-M2	0	0	0	0	0	0	134	61	0	0	0	0
Kaistella carnis	0	0	0	0	0	0	12	55	0	0	0	0
Candidatus Kaistella beijingensis	0	0	0	0	0	0	11	17	0	0	0	7
Kaistella jeonii	0	0	0	0	0	0	6	38	0	0	0	0
Kaistella flava (ex Peng et al. 2021)	0	0	0	0	0	0	7	0	0	0	0	0
Elizabethkingia miricola	0	0	0	0	0	0	283	95	0	0	0	0
Riemerella columbina	0	0	0	0	0	0	147	83	0	0	0	0
